Date,Time,Open,High,Low,Close,Volume
2014.09.08,0:00,0.93624,0.93731,0.92739,0.92747,82958
2014.09.09,0:00,0.92748,0.92875,0.91869,0.92046,112047
2014.09.10,0:00,0.92045,0.92166,0.91116,0.91534,108204
2014.09.11,0:00,0.91535,0.92166,0.90874,0.90949,104836
2014.09.12,0:00,0.90948,0.90974,0.90293,0.90409,82557
2014.09.14,0:00,0.90105,0.90158,0.90041,0.90105,7392
2014.09.15,0:00,0.90105,0.90482,0.89824,0.90322,83126
2014.09.16,0:00,0.90323,0.91111,0.89881,0.90794,104792
2014.09.17,0:00,0.90799,0.90833,0.89376,0.89571,112414
2014.09.18,0:00,0.89571,0.89998,0.89261,0.89814,98871
2014.09.19,0:00,0.89814,0.89935,0.89197,0.89275,96051
2014.09.21,0:00,0.89313,0.8944,0.89282,0.89375,4712
2014.09.22,0:00,0.89374,0.89486,0.88512,0.88754,85429
2014.09.23,0:00,0.88754,0.89259,0.88301,0.88514,102329
2014.09.24,0:00,0.88515,0.88962,0.88375,0.88577,87459
2014.09.25,0:00,0.88579,0.88674,0.87727,0.88018,111230
2014.09.26,0:00,0.88017,0.88119,0.87466,0.87615,84394
2014.09.28,0:00,0.87571,0.87593,0.8726,0.87342,8291
2014.09.29,0:00,0.87346,0.8747,0.86826,0.87121,103071
2014.09.30,0:00,0.8712,0.87665,0.86927,0.87363,111337
2014.10.01,0:00,0.87364,0.87506,0.86621,0.87418,124279
2014.10.02,0:00,0.87418,0.88257,0.8739,0.87924,133250
2014.10.03,0:00,0.87923,0.88049,0.86413,0.86743,86864
2014.10.05,0:00,0.86739,0.86776,0.86512,0.86609,5739
2014.10.06,0:00,0.8661,0.87828,0.8661,0.87689,85112
2014.10.07,0:00,0.87689,0.88331,0.8725,0.88075,109640
2014.10.08,0:00,0.88076,0.88502,0.8733,0.88366,104570
2014.10.09,0:00,0.88361,0.88975,0.87569,0.87629,103119
2014.10.10,0:00,0.87628,0.87844,0.8679,0.86834,88567
2014.10.12,0:00,0.86905,0.86929,0.86507,0.86764,6908
2014.10.13,0:00,0.86763,0.8786,0.86507,0.87525,83841
2014.10.14,0:00,0.87525,0.88109,0.86912,0.87078,82768
